name	lat	long	start_time	end_time	attending_count	type,id
The Lodge's 3rd Annual Lumberjack Halloween Party	43.6644707	-79.3807678	2017-10-31T20:00:00-0400	2017-11-01T02:00:00-0400	0	public	1177263779077547
Block Party in the Distillery District	43.6498824	-79.35856559999999	2017-11-02T20:00:00-0400	2017-11-04T23:00:00-0400	24	public	1241178999358909
Halloween Bachata Night Tuesdays at Alleycatz!	43.71028	-79.3988	2017-10-31T20:30:00-0400	2017-11-01T02:30:00-0400	0	public	118570652178984
Everyday Halloween Harajuku Fashion Show	43.656493270582	-79.407334327698	2017-11-04T17:30:00-0400	2017-11-04T20:30:00-0400	53	public	134523017173854
Cedarvale and Forest Hill Stations Open House	43.6961299	-79.43029	2017-11-02T18:30:00-0400	2017-11-02T20:00:00-0400	4	public	148506545749029
Latin Fridays - Featuring DJ Mechon & DJ Narvaz	43.65686	-79.40719	2017-10-13T21:00:00-0400	2017-11-18T15:00:00-0500	14	public	287350518428034
Open Show Toronto #26	43.65227	-79.44795	2017-11-02T19:30:00-0400	2017-11-02T23:00:00-0400	62	public	1979944105552532
Opening the Memory Archive	43.6765929	-79.407334	2017-11-04T10:30:00-0400	2017-11-04T12:30:00-0400	23	public	139309970022664
Cool Hand Group showing , Mimi Oz Sandra Taylor Lily Mason	43.66555	-79.46286	2017-11-04T19:00:00-0400	2017-11-05T23:55:00-0500	17	public	112663802747391
Special Halloween Themed Toddler Time	43.706994020149	-79.357407600927	2017-10-31T09:30:00-0400	2017-10-31T12:00:00-0400	0	public	343012979493661
Lecture 2: Joshna Maharaj - Land, Food, and the Urban Commons	43.64075	-79.43225	2017-11-02T19:00:00-0400	2017-11-02T21:00:00-0400	23	public	327957070998792
Learning Abroad Workshop (POL/IR/PHL/NMC/PCJ)	43.659474726667	-79.395933747778	2017-11-01T17:00:00-0400	2017-11-01T18:00:00-0400	8	public	1098573390278222
Toronto Downtown Record Show	43.6818215	-79.35808899999999	2017-11-05T11:00:00-0500	2017-11-05T16:00:00-0500	393	public	1712113012195563
International Cube Day: Toronto, November 5th	43.65603590000001	-79.3802357	2017-11-05T18:00:00-0500	2017-11-05T21:00:00-0500	105	public	1491162257632295
FCI's 11th Annual Pizza, Pasta e Porchetta Sera	43.75601	-79.47526	2017-11-03T18:00:00-0400	2017-11-04T00:00:00-0400	37	public	175490729679722
Susan Hoeppner masterclass & Haynes flute sampling	43.662331543839	-79.396710955324	2017-10-30T17:00:00-0400	2017-10-30T19:00:00-0400	16	public	182526518986361
Error
QAY Presents: When You're Ready	43.65191	-79.39822	2017-11-03T18:00:00-0400	2017-11-03T19:00:00-0400	0	public	477173799333408
Miguel de Armas CD Release (Free Concert)	43.64959	-79.43453	2017-11-01T18:30:00-0400	2017-11-01T22:00:00-0400	30	public	1400335380065091
Cabbagetown Pumpkin Walk	43.66652	-79.36252	2017-11-01T17:00:00-0400	2017-11-01T21:00:00-0400	24	public	623034814751972
Canadian Heavy Rock 2017	43.629526243883	-79.549001811075	2017-11-02T19:00:00-0400	2017-11-02T23:00:00-0400	13	public	627953347592249
Common Readings, the October edition	43.65227	-79.44795	2017-10-30T20:00:00-0400	2017-10-30T23:00:00-0400	19	public	531552433847519
Behind-the-scenes tour of The Notman Studio: 1858–1915	43.65767	-79.37927	2017-11-01T18:00:00-0400	2017-11-01T20:00:00-0400	21	public	123276171715240
All Souls - Maurice Duruflé Requiem	43.66913	-79.39397	2017-11-05T19:00:00-0500	2017-11-05T20:30:00-0500	6	public	261348981043052
Bitchesbewitches Halloween Celebration with Soulfire Sessions	43.64179	-79.42191	2017-10-31T19:00:00-0400	2017-11-01T00:00:00-0400	32	public	1414930868614391
Heddington Halloween 2017	43.70555299999999	-79.4144018	2017-10-31T16:00:00-0400	2017-10-31T20:30:00-0400	9	public	530582897293396
Lago Cafè presenta: Hanna!	43.6501307	-79.3761569	2017-11-05T20:00:00-0500	2017-11-05T23:00:00-0500	3	public	1028906907251635
WorldGaming Madden NFL 18 Canadian Challenge Live Championships	43.64093576243	-79.386541843414	2017-11-05T11:00:00-0500	2017-11-05T22:00:00-0500	18	public	357016498073693
Evening with Holly Bowling at Gallery 345 - Sold Out	43.649455	-79.4438793	2017-11-03T19:30:00-0400	2017-11-03T23:00:00-0400	58	public	1455801977831506
Lil Yachty	43.64109	-79.35466	2017-11-05T20:00:00-0500		120	public	1451878808266233
EWB UofT Presents: Equitable Food Systems Movie Night	43.66002	-79.39467	2017-10-31T18:00:00-0400	2017-10-31T19:00:00-0400	10	public	702719426599952
JJ St. Clair 1 Year Anniversary / Halloween Party	43.68827	-79.39448	2017-10-31T06:00:00-0400	2017-10-31T18:00:00-0400	0	public	1530584120342089
All Beethoven	43.6466	-79.3864	2017-10-31T20:00:00-0400	2017-10-31T23:00:00-0400	42	public	1607950459226933
Getting Elsewhere: Shared Futures on Selfsame Land	43.66118	-79.40072	2017-11-03T10:00:00-0400	2017-11-03T16:00:00-0400	57	public	363041527452722
Bella Musica	43.664905543982	-79.395716701763	2017-11-04T19:30:00-0400	2017-11-05T21:30:00-0500	0	public	1901223200128734
In Conversation with Lidia Bastianich	43.6523585	-79.37000689999999	2017-11-03T19:00:00-0400	2017-11-03T21:00:00-0400	0	public	123624681635019
Error
Error
DJI Pop-Up Store powered by OmniView Tech Grand Opening	43.775307850872	-79.25725834326	2017-11-04T09:30:00-0400	2017-11-04T21:00:00-0400	57	public	141275986497636
Roozbeh Nematollahi live in Toronto	43.766271413876	-79.414139819661	2017-11-05T20:00:00-0500	2017-11-05T22:30:00-0500	100	public	178461732722817
Halloween Salsa Night Mondays at Alleycatz!	43.71028	-79.3988	2017-10-30T20:30:00-0400	2017-10-31T02:30:00-0400	0	public	1546525132081423
Audiopollination Halloween special	43.64424	-79.40992	2017-10-31T20:00:00-0400	2017-10-31T22:00:00-0400	8	public	332096907201026
Error
Richard Avedon: Darkness and Light - The Great Photographers	43.6655	-79.41053	2017-11-05T11:00:00-0500	2017-11-05T13:00:00-0500	27	public	1872319179763112
TCDS and the GIT presents: Theatre Tech Workshop	43.66584	-79.39707	2017-11-01T18:00:00-0400	2017-11-01T20:00:00-0400	16	public	1992326771004803
Scareoke Halloweed	43.65448	-79.40224	2017-10-31T19:00:00-0400		17	public	150734088867230
Toronto Rocky Horror Halloween - Oct 31 @ 7pm	43.6655	-79.41053	2017-10-31T19:00:00-0400	2017-10-31T21:30:00-0400	26	public	1850253328323063
Error
Structur'aa	43.6420517	-79.4321823	2017-11-03T18:00:00-0400	2017-11-03T21:00:00-0400	49	public	885108868303852
Dismantling Islamophobia in Higher Education	43.6639483	-79.39414049999999	2017-10-30T18:30:00-0400	2017-10-30T20:00:00-0400	57	public	616127702109930
Trick Or Eat 2017	43.64775	-79.39471	2017-10-31T17:00:00-0400	2017-10-31T20:00:00-0400	18	public	100887023937716
RGD Webinar: Social Media 101	43.64637	-79.39569	2017-11-02T12:00:00-0400	2017-11-02T13:00:00-0400	5	public	211083842763111
Half Your Plate Cooking Competition	43.6522	-79.3699	2017-11-02T10:30:00-0400	2017-11-02T12:30:00-0400	0	public	1513836815348825
FIFA 18 & NBA 2K18 Tournament Fundraiser	43.6554355	-79.3828343	2017-10-30T10:00:00-0400	2017-10-30T18:00:00-0400	34	public	549795212030711
Wet Hot American Slasher: The Social Capital Halloween Basher	43.67667	-79.35753	2017-10-31T20:30:00-0400	2017-11-01T02:00:00-0400	38	public	877103962456076
FNL: Valhalla	43.668204810109	-79.394891309561	2017-11-03T19:00:00-0400	2017-11-03T22:00:00-0400	117	public	494786377541996
Call for Latinx Youth-Led Art Workshops	43.7166	-79.3407	2017-10-19T14:00:00-0400	2017-11-17T23:59:00-0500	16	public	479696519096353
De-Institute	43.6502399	-79.4312099	2017-11-03T17:00:00-0400	2017-11-03T19:00:00-0400	21	public	2027920594109170
LBSA: Alternatives to Law School	43.65532	-79.3848	2017-11-02T18:00:00-0400	2017-11-02T21:00:00-0400	34	public	764088843794219
Autumn Song Circle	43.6747	-79.3472	2017-10-30T18:30:00-0400	2017-10-30T21:00:00-0400	39	public	222275778307743
2/edition: Art Book Fair	43.643754142689	-79.386119518164	2017-10-26T18:30:00-0400	2017-10-30T20:00:00-0400	354	public	123694331627962
ЧАЙФ	43.66472	-79.37416	2017-11-02T19:00:00-0400	2017-11-02T22:00:00-0400	0	public	1266099533512570
Elpida 2017 Gala	43.72763	-79.34356	2017-11-03T19:00:00-0400	2017-11-03T23:59:00-0400	58	public	267508450411968
Drone:Klub:13	43.63911	-79.42515	2017-11-02T19:00:00-0400	2017-11-02T22:00:00-0400	11	public	255582714964738
Innovation Talks - FaithTech Toronto	43.644315601814	-79.388013381089	2017-11-03T19:00:00-0400	2017-11-03T21:30:00-0400	15	public	314026292338658
Toronto Antiquarian Book Fair	43.65351	-79.3925299	2017-11-03T17:00:00-0400	2017-11-05T16:30:00-0500	51	public	288035895033038
Error
Course: The Art of the Ottoman Carpet	43.72539	-79.33229	2017-11-05T13:00:00-0500	2017-11-26T16:00:00-0500	6	public	279442829231020
VIC Be Spooooky	43.775425479296	-79.502117481859	2017-10-31T20:30:00-0400	2017-10-31T22:00:00-0400	23	public	1957557031195930
The Karpinka Brothers at The Local Pub	43.6509799	-79.4511	2017-11-03T17:00:00-0400	2017-11-03T19:00:00-0400	0	public	113846999305578
SOLD OUT! Halloween Party @ Kidnasium (Baby-Tot-Child)	43.70749	-79.38942	2017-10-31T13:00:00-0400	2017-10-31T16:00:00-0400	21	public	921333608015684
Spooky Hallowe’en Organ Concert	43.6506	-79.4307	2017-10-31T17:00:00-0400	2017-10-31T20:00:00-0400	8	public	144561069491374
Halloween Karaoke	43.66496	-79.38304	2017-10-31T21:00:00-0400	2017-11-01T02:00:00-0400	0	public	123624828306887
FREE: Intro to UX Design	43.6474475	-79.3870878	2017-10-30T18:30:00-0400	2017-10-30T20:30:00-0400	0	public	125122398154481
Halloween at Cherry Colas!	43.6477999	-79.40447	2017-10-31T20:00:00-0400	2017-11-01T02:00:00-0400	34	public	1934748066781893
Toronto Chicken Save evening vigil: Get Political	43.668745	-79.474985	2017-11-02T19:30:00-0400	2017-11-02T22:00:00-0400	3	public	719337361596029
Straight Goodz Presents GTA & Valentino Khan // Maison Mercer	52.052490476001	-81.5625	2017-11-03T22:00:00-0400	2017-11-04T03:00:00-0400	65	public	123375178375347
Rob Kempson: Songs I Should Have Never Sung	43.6521199	-79.37554	2017-11-05T20:30:00-0500	2017-11-05T22:00:00-0500	23	public	1243135459166675
Grape Witches x Monty's HALLOWEEN	43.6444199	-79.41844	2017-10-31T20:00:00-0400		0	public	1933881816937041
Neil McNeil Alumni Night	43.6792299	-79.28306	2017-11-03T18:30:00-0400	2017-11-03T23:30:00-0400	23	public	1727149684247541
Ryerson #TrickOrEat2017	43.65787	-79.37841	2017-10-31T17:00:00-0400	2017-10-31T20:00:00-0400	10	public	150225685717582
Shab-e She'r Poetry Night LVI	43.65697	-79.40394	2017-10-31T18:30:00-0400	2017-10-31T22:00:00-0400	10	public	1615168085182051
Board Game Night with The Station	43.64775	-79.39471	2017-11-02T18:30:00-0400	2017-11-02T21:30:00-0400	6	public	1464027496999733
Error
Spooktacular Pumpkin Parade	43.6714	-79.31739	2017-11-01T18:30:00-0400	2017-11-01T20:00:00-0400	12	public	1937009546564150
Taylor Statten Camping Bursary Fund Art Show - F A R + W I D E	43.6488683	-79.3889411	2017-11-02T17:00:00-0400	2017-11-02T22:00:00-0400	46	public	1810097265942792
Halloween Party	43.754778085845	-79.350110242858	2017-10-31T16:00:00-0400	2017-10-31T23:55:00-0400	1	public	1409251599124129
Halloween Contest and Lunch	43.729742	-79.604545	2017-10-31T12:00:00-0400	2017-10-31T14:00:00-0400	2	public	683297815213847
47, 37 y 35 Aniversarios Iglesia Evangelica Hispana- Bienvenidos	43.6777314	-79.359184	2017-11-03T19:30:00-0400	2017-11-05T14:00:00-0500	18	public	1508479375901350
Payback - documentary screening	43.6774715	-79.3537231	2017-11-03T19:30:00-0400	2017-11-03T22:30:00-0400	5	public	1539701096109693
FAIL is Awesomesauce! (a PLAYshop)	43.6477089	-79.3954762	2017-11-02T19:00:00-0400	2017-11-02T21:00:00-0400	17	public	120244481964347
Descontra Wednesdays - November 1st	43.6772412	-79.445790314298	2017-11-01T18:00:00-0400	2017-11-01T23:00:00-0400	19	public	129377871145755
TCC Kids Fall Festival	43.71069	-79.31665	2017-10-31T18:30:00-0400		11	public	1454730901275699
Kidz Extravaganza: The Adventure Begins	43.70677	-79.47573	2017-10-31T18:00:00-0400	2017-10-31T20:00:00-0400	6	public	338110699985234
Basic Income or Decent Work?	43.6595406	-79.3799051	2017-11-02T18:30:00-0400	2017-11-02T21:00:00-0400	53	public	303471076801147
U35 Toronto Networking Mixer	43.64457	-79.3999439	2017-11-01T18:00:00-0400	2017-11-01T20:00:00-0400	22	public	706924969495909
Halloween at the Dance Cave - No Cover!	43.66523	-79.40941	2017-10-31T22:00:00-0400		21	public	1662640727114595
AOA Fall Education Summit	43.7909	-79.19428	2017-11-03T08:00:00-0400	2017-11-05T16:00:00-0500	3	public	1635796696444058
The Free Speech Comedy Show	43.667312243571	-79.392597668214	2017-11-04T21:00:00-0400		89	public	273273623162700
Halloween Night! Cattle Decapitation, Revocation & More at Opera House	43.65897	-79.34876	2017-10-31T19:00:00-0400		349	public	1929272110695869
Halloween Tuesday Spook	43.66147	-79.42571	2017-10-31T19:00:00-0400	2017-10-31T22:00:00-0400	18	public	1733929876910545
Chris Assaad - NOT JUST A Concert	43.6442425	-79.4099434	2017-11-03T19:30:00-0400	2017-11-03T22:00:00-0400	19	public	1958949694373667
ShareON Design Jam	43.65767	-79.3811	2017-11-03T09:00:00-0400	2017-11-04T17:00:00-0400	0	public	841157146062867
Million Mask March - Toronto, Ontario, Canada (2017)	43.7166	-79.3407	2017-11-05T00:00:00-0400	2017-11-05T23:59:00-0500	2	public	125263404899448
Double-crested cormorants and Leslie St Spit's urban wilderness	43.6667	-79.3928	2017-11-05T14:30:00-0500	2017-11-05T16:00:00-0500	7	public	301641970316981
Looking Back On The Lake Shore: Ward 6 Historical Night	43.59766	-79.51579	2017-11-02T19:00:00-0400	2017-11-02T21:00:00-0400	0	public	128950627855319
Toronto Christmas Shopping Event	43.6468201	-79.3751678	2017-11-04T10:00:00-0400	2017-11-05T17:00:00-0500	7	public	1927775904213104
Pumpkin Carving on Halloween!	43.66442	-79.3418	2017-10-31T18:00:00-0400	2017-10-31T21:00:00-0400	4	public	376748676091944
How We Can Win: And What Happens To Us & Our Country If We Don't	43.66561	-79.39855	2017-11-01T17:00:00-0400	2017-11-01T18:00:00-0400	0	public	1932627580350630
CDCC at the 2017 Edition Art Book Fair	43.644018083865	-79.386316537857	2017-10-26T18:00:00-0400	2017-10-30T18:00:00-0400	6	public	784314438423397
BookThug Fall 2017 Launch Party	43.64912	-79.42231	2017-11-02T19:00:00-0400	2017-11-02T23:00:00-0400	125	public	1597359753641742
Colour Analysis Mastery	43.7166	-79.3407	2017-11-03T09:00:00-0400	2017-11-04T17:00:00-0400	0	public	641757452878432
TBYAF Youth Conference 2017	43.8268269	-79.2499943	2017-11-03T19:00:00-0400	2017-11-04T19:30:00-0400	62	public	114904949162266
RISE Thursday - November 2017	43.7206227	-79.4297428	2017-11-02T18:00:00-0400	2017-11-02T21:00:00-0400	21	public	309467279531461
Alumni gathering is back in Toronto	43.6502482	-79.3607597	2017-11-03T18:00:00+0100	2017-11-03T22:00:00+0100	6	public	1744142925878219
Yonder Mountain String Band at Lee's Palace	43.66523	-79.40941	2017-11-05T19:00:00-0500		88	public	790735347764800
Connecting For A Cause	43.78584	-79.1871	2017-11-02T18:00:00-0400	2017-11-02T20:00:00-0400	29	public	138502933457662
Optimize Your Graduate Experience #OptimizeWeek	43.6627374	-79.39399139999999	2017-11-02T17:00:00-0400	2017-11-02T21:00:00-0400	9	public	139267570143024
The Deep Dark Woods at Great Hall Toronto	43.64335	-79.42202	2017-11-03T19:00:00-0400	2017-11-03T22:00:00-0400	15	public	1735826093389539
Katy Perry: Witness The Tour	43.643269208632	-79.379430504235	2017-10-31T19:00:00-0400		498	public	1285515498234638
Error
Renew	43.64967	-79.39699	2017-11-05T19:00:00-0500	2017-11-05T21:00:00-0500	31	public	1879038955745817
Syrian Refugee Community Dinner	43.660048087542	-79.362755636937	2017-11-03T18:00:00-0400	2017-11-03T22:00:00-0400	1	public	127112374658095
Men's Circle - a new dance theatre work by Kathleen Rea	43.664345	-79.377765	2017-11-02T20:00:00-0400	2017-11-05T15:00:00-0500	50	public	150598895531063
Drop-In Dinner: Mediterranean Veggie Bowl by Matt Mathews	43.65278	-79.42937	2017-11-03T18:00:00-0400	2017-11-03T21:00:00-0400	0	public	2025295364366865
Women in Spirit: Solo Exhibition of Indigenous Artist Wabimeguil	43.67476	-79.45851	2017-11-03T19:00:00-0400	2017-11-12T17:00:00-0500	24	public	528237227509641
Daddy Issues with DJ Sumation	43.6656199	-79.38683	2017-11-05T21:00:00-0500	2017-11-06T00:00:00-0500	6	public	1826298431015370
Halloween - "Бал Воланда"	43.7824	-79.4933	2017-11-03T19:30:00-0400	2017-11-04T02:00:00-0400	73	public	1870911593230102
Armies on Parade: 40,000 Week	43.72911	-79.40281	2017-10-31T17:00:00-0400	2017-11-05T20:00:00-0500	2	public	158096948118617
Morgan Sears-Williams | SOFT	43.6469	-79.41755	2017-11-02T18:00:00-0400	2017-11-02T21:00:00-0400	64	public	146441562760604
RUCSA, RUAS, & WITM Present: Industry Round Table	43.64997	-79.37564	2017-11-02T18:00:00-0400	2017-11-02T21:00:00-0400	41	public	859305597568608
Mystery Skulls at The Rivoli | November 5	43.64959	-79.395	2017-11-05T20:00:00-0500	2017-11-05T23:00:00-0500	36	public	1487699777957820
A Show: Downturns, Tongues, Blankscreen & Orations (NY) 	43.65926	-79.43965	2017-11-03T19:00:00-0400		21	public	1957537227792298
Hosted by Glenn Gould	43.63867	-79.38212	2017-11-02T20:00:00-0400	2017-11-04T22:00:00-0400	16	public	127382431222855
Pumpkins in the Park 2017	43.664588905779	-79.380482257075	2017-10-30T16:00:00-0400	2017-10-30T19:00:00-0400	48	public	119337378782394
Tequila Sundown	43.6698487	-79.4361928	2017-10-31T20:00:00-0400	2017-11-01T02:00:00-0400	41	public	131626354234515
Paint Nite	43.73974	-79.41901	2017-11-03T19:00:00-0400	2017-11-03T21:00:00-0400	0	public	370675476681567
